Date,Guest,Primetime,Tucker
June 22 2020 Monday,Victor Davis Hanson;Jason Rantz;Larry Elder,1,1
January 5 2020 Sunday,Andrew Roberts,1,0
December 2 2020 Wednesday,Glenn Greenwald;Matt Gaetz;Phil Kline;Claudia Tenney;Sucharit Bhakdi,1,0
December 11 2020 Friday,Brett Tolman;Victor Davis Hanson;Matt Gaetz;Michael Waltz;David Shafer;Dave Rubin;Charlie LeDuff;,0,0
June 15 2020 Monday,,0,0
November 16 2020 Monday,,0,0
June 29 2020 Monday,,0,0
November 2 2020 Monday,Anthony Scaramucci,0,0
November 10 2020 Tuesday,James Craig;Saagar Enjeti;Tom Cotton;Alex Berenson,1,1
June 9 2020 Tuesday,Heather Mac Donald;Bernard Kerik;Richard Goodstein;Burgess Owens,1,0
August 19 2020 Wednesday,Sarah Palin;Jimmy Dore;Alex Thompson,1,1
February 28 2020 Friday,Steve Hayes;Leslie Marshall;Mollie Hemingway,0,0
November 27 2020 Friday,Jonathan Johnson;Charles Lane;Deroy Murdock;Tom Bevan,0,0
July 8 2020 Wednesday,,0,0
February 14 2020 Friday,Matt Whitaker;Sidney Powell;Alan Dershowitz;Matt Schlapp;Jenna Ellis;Joe Concha,1,0
August 6 2020 Thursday,,0,0
April 26 2020 Sunday,Ray Suarez,0,0
November 23 2020 Monday,Ben Domenech,0,0
May 21 2020 Thursday,Pam Cheng;Chris Van Hollen;Tom Cotton,0,0
November 16 2020 Monday,Zane Tankel;John Yoo;John Bussey;Shoshana Ungerleider,0,0
September 14 2020 Monday,James Butts;Michael Shellenberger;Harmeet Dhillon;Ethan Bearman,1,0
February 13 2020 Thursday,Jason Rantz;Deroy Murdock;Mark Steyn,1,1
October 25 2020 Sunday,Ben Domenech;Susan Ferrechio;Ray Suarez;Erin Perrine;Harold Ford Jr.,0,0
July 2 2020 Thursday,Randall Stephenson;Harold Ford Jr.;Susan Ferrechio;Tom Bevan,0,0
June 15 2020 Monday,Andy Ngo;Robert Patillo;Daniel Linskey;Steve Rogers,1,0
